Metro station,lat,lon,District
Дмитровская,55.808056,37.581734,район Бутырский
Ленинский проспект,55.70678,37.58499,район Гагаринский
Пролетарская,55.731546,37.666917,район Таганский
Стахановская,55.727207,37.752257,район Рязанский
Аэропорт Внуково,55.607087,37.287702,район Внуково
Выставочный центр,55.824086,37.638494,район Останкинский
Свиблово,55.855558,37.653379,район Свиблово
Ясенево,55.606182,37.5334,район Ясенево
Тимирязевская,55.81866,37.574498,район Тимирязевский
Щёлковская,55.809962,37.798261,район Северное Измайлово
Солнцево,55.649,37.3911,район Солнцево
Зябликово,55.611944,37.745278,район Зябликово
Новопеределкино,55.6385,37.3544,район Ново-Переделкино
Карамышевская,Московская область,Московская область,Московская область
Рижская,55.792494,37.636114,район Мещанский
Угрешская,55.718333,37.697778,район Печатники
Локомотив,55.803219,37.745742,район Преображенское
Пражская,55.610962,37.602386,район Чертаново Центральное
Рассказовка,55.6324,37.3328,Новомосковский административный округ
Гражданская,55.805483,37.553316,район Савеловский
Подольск,55.431494,37.565452,Московская область
Перерва,55.661415,37.716998,район Печатники
Сокольники,55.789282,37.679895,район Сокольники
Царицыно,55.620982,37.669612,район Царицыно
Бунинская Аллея,55.537977,37.515899,район Южное Бутово
Улица Старокачаловская,55.569194,37.576074,район Северное Бутово
Черкизовская,55.802787,37.744863,район Преображенское
Ольховая,55.56898,37.459047,Новомосковский административный округ
Калитники,55.734146,37.701969,район Нижегородский
Курьяново,55.649855,37.701439,район Печатники
Бульвар Адмирала Ушакова,55.545207,37.542329,район Южное Бутово
Первомайская,55.794376,37.799364,район Измайлово
Хорошёвская,55.776862,37.520797,район Хорошевский
Юго-Западная,55.663146,37.482852,район Тропарево-Никулино
Ховрино,55.878273,37.480768,район Ховрино
Физтех,55.921536,37.546498,район Северный
Бескудниково,55.882182,37.567689,район Восточное Дегунино
Москворечье,55.640396,37.689087,район Москворечье-Сабурово
Волжская,55.690446,37.754314,район Текстильщики
Электрозаводская,55.782057,37.7053,район Соколиная гора
Говорово,55.6588,37.4174,Новомосковский административный округ
Медведково,55.888103,37.661562,район Северное Медведково
Савёловская,55.794054,37.587163,район Бутырский
Мичуринский проспект,55.6888,37.485,район Раменки
Владыкино,55.848236,37.590451,район Отрадное
Тропарёво,55.6459,37.4725,район Тропарево-Никулино
Чкаловская,55.755951,37.659293,район Басманный
Красный Балтиец,55.815478,37.526618,район Аэропорт
Зюзино,55.655717,37.57369,район Зюзино
Сухаревская,55.772315,37.63285,район Красносельский
Окская,55.718623,37.781272,район Рязанский
Красносельская,55.780014,37.666097,район Красносельский
Нижегородская,55.731835,37.729404,район Нижегородский
Андроновка,55.741111,37.734444,район Нижегородский
Семёновская,55.783096,37.719289,район Соколиная гора
Зеленоград — Крюково,Московская область,Московская область,Московская область
Озёрная,55.6698,37.4495,район Тропарево-Никулино
Бутырская,55.813333,37.602778,район Бутырский
Некрасовка,55.702967,37.92803,район Некрасовка
Коптево,55.839637,37.520037,район Коптево
Римская,55.747027,37.679996,район Таганский
Лихоборы,55.855143,37.561589,район Западное Дегунино
Кузьминки,55.705493,37.763295,район Кузьминки
Улица Скобелевская,55.548103,37.552721,район Южное Бутово
Выхино,55.715983,37.816788,район Выхино-Жулебино
Нахимовский проспект,55.662379,37.605274,район Зюзино
Бутово,55.541698,37.57068,район Южное Бутово
Авиамоторная,55.751933,37.717444,район Лефортово
Южная,55.622436,37.609047,район Чертаново Северное
Силикатная,55.470459,37.555454,Московская область
Внуково,55.607087,37.287702,район Внуково
Трикотажная,55.833137,37.398967,район Южное Тушино
Тёплый Стан,55.61873,37.505912,район Ясенево
Лесопарковая,55.581656,37.577816,район Чертаново Южное
Братиславская,55.658817,37.748415,район Марьино
Шоссе Энтузиастов,55.75809,37.751703,район Перово
Улица Горчакова,55.542281,37.532063,район Южное Бутово
Москва-Товарная,55.745656,37.688306,район Таганский
Алтуфьево,55.899034,37.586473,район Лианозово
Новокосино,55.745113,37.864052,район Новокосино
Новохохловская,55.723889,37.716111,район Нижегородский
Улица Академика Янгеля,55.596753,37.601498,район Чертаново Южное
Чертановская,55.640538,37.606065,район Чертаново Северное
Коньково,55.631857,37.519156,район Коньково
Красногвардейская,55.614075,37.742697,район Зябликово
Орехово,55.61269,37.695214,район Орехово-Борисово Северное
Пыхтино,55.625,37.298056,Новомосковский административный округ
Остафьево,55.486015,37.555157,Новомосковский административный округ
Бабушкинская,55.870641,37.664341,район Бабушкинский
Юго-Восточная,55.705351,37.817995,район Выхино-Жулебино
Люблино,55.676596,37.761639,район Люблино
Новодачная,55.924396,37.527938,Московская область
Алма-Атинская,55.63349,37.765678,район Братеево
Планерная,55.859676,37.436808,район Северное Тушино
Зорге,55.787778,37.504444,район Хорошево-Мневники
Верхние Лихоборы,55.855143,37.561589,район Западное Дегунино
Фонвизинская,55.822778,37.588056,район Бутырский
Крымская,55.690038,37.605,район Нагорный
Красный Строитель,55.589798,37.615093,район Чертаново Южное
Севастопольская,55.651451,37.59809,район Зюзино
Лефортово,55.764693,37.706757,район Лефортово
Площадь Гагарина,55.706944,37.585833,район Гагаринский
Санино,55.583889,37.138333,Новомосковский административный округ
Каховская,55.65278,37.597955,район Зюзино
Вешняки,55.721944,37.799167,район Выхино-Жулебино
Текстильщики,55.709211,37.732117,район Текстильщики
Марксистская,55.740746,37.65604,район Таганский
Улица Академика Королёва,55.821821,37.627167,район Останкинский
Варшавская,55.653406,37.619711,район Нагорный
Студенческая,55.738761,37.54842,район Дорогомилово
Достоевская,55.781667,37.613889,район Тверской
Октябрьская,55.729264,37.611049,район Якиманка
Лужники,55.720278,37.563056,район Хамовники
Площадь Революции,55.756741,37.62236,район Тверской
Лианозово,55.898614,37.544854,район Дмитровский
Воробьёвы горы,55.709169,37.557293,район Раменки
Очаково,55.683611,37.451389,район Очаково-Матвеевское
Воронцовская,55.658845,37.539446,район Обручевский
Терехово,55.748108,37.459738,район Хорошево-Мневники
Нагатинская,55.682099,37.620917,район Нагорный
Кожуховская,55.706156,37.68544,район Южнопортовый
Щербинка,55.510155,37.562191,Новомосковский административный округ
Дегунино,55.865576,37.573232,район Восточное Дегунино
Депо,55.674118,37.728056,район Печатники
Новоподрезково,55.936389,37.351667,район Молжаниновский
Яхромская,55.879904,37.545429,район Восточное Дегунино
Румянцево,55.633,37.4419,Новомосковский административный округ
Дубровка,55.71807,37.676259,район Южнопортовый
Хлебниково,55.970897,37.504591,Московская область
Соколиная Гора,55.77,37.745278,район Соколиная гора
Верхние Котлы,55.69,37.618889,район Нагорный
Отрадное,55.864273,37.605066,район Отрадное
Сетунь,55.724211,37.398473,район Можайский
Лухмановская,55.708516,37.900569,район Косино-Ухтомский
Покровское,55.602968,37.632071,район Бирюлево Западное
Каширская,55.655745,37.649683,район Нагатино-Садовники
Домодедовская,55.610131,37.717111,район Орехово-Борисово Южное
Марьино,55.649158,37.743844,район Марьино
Улица Дмитриевского,55.710311,37.879045,район Косино-Ухтомский
Перово,55.75098,37.78422,район Перово
Шипиловская,55.621667,37.743611,район Зябликово
Белокаменная,55.83,37.700556,район Метрогородок
Кленовый бульвар,55.674692,37.681568,район Нагатинский затон
Беляево,55.642357,37.526115,район Коньково
Борисово,55.6325,37.743333,район Братеево
Боровское шоссе,55.647,37.3701,район Ново-Переделкино
Жулебино,55.684722,37.855833,район Выхино-Жулебино
Аннино,55.583477,37.596999,район Чертаново Южное
Измайловская,55.787713,37.779896,район Измайлово
Лермонтовский проспект,55.702036,37.851044,район Выхино-Жулебино
Бутырская ,55.813333,37.602778,район Бутырский
Немчиновка,55.715991,37.37536,Московская область
Теплый Стан,55.61873,37.505912,район Ясенево
Пионерская,55.736027,37.466728,район Фили-Давыдково
Новоясеневская,55.601947,37.553017,район Ясенево
Филевский парк,55.739665,37.483902,район Филевский парк
Измайлово,55.788611,37.742778,район Соколиная гора
Битцевский Парк,55.600066,37.556058,район Ясенево
Партизанская,55.788401,37.74882,район Измайлово
Крестьянская застава,55.732278,37.665325,район Таганский
Марк,55.740746,37.65604,район Таганский
Косино,55.703423,37.851305,район Выхино-Жулебино
Долгопрудная,55.938143,37.520986,Московская область
Петровско-Разумовская,55.836565,37.575512,район Тимирязевский
Лубянка,55.759889,37.625336,район Мещанский
Сколково,55.700091,37.342526,Московская область
Битца,55.571174,37.611464,Московская область
Котельники,55.6743,37.8582,Московская область
